dt,video_id,manual_category,manual_category_l2,manual_tags,personid,video_createtime,music_id,jubao_num,uninterest_num,viewcomm_num,like_num,comment_num,share_num,focus_num,completed_num,play_0_5_vv,play_vv,escape_num,interaction_num,video_total_time,video_play_time,complete_rate,video_type
20191102,6RB38fkjw1IpL8Kl6,自拍,秀颜值,质量_镜头不稳,人物_普通男,自拍_耍帅扮酷,特效拍摄,休闲风,remember the name,1498790686617202,2019-10-30 18:23:46,weishi_b2gq1YcHFKJDV,0,0,0,0,0,0,0,0,1,3,0,0,28800,17507,17507,9
20191102,6T7KdmHue1IlGsxrQ,游戏,MOBA类-王者荣耀,游戏_黄忠,游戏_梦泪,射手,游戏_团战,推塔,王者峡谷,游戏搞笑,游戏_游戏搞笑,质量_有画布,质量_加字幕,1504169378112926,2019-10-19 12:35:21,1112_cd105c3e45e94d5d9fcbe7955f45aauu,0,0,1,0,0,0,0,15,4,26,3,1,416000,389709,287681,13
20191102,6TXwshGia1IolpVj3,游戏,射击类-穿越火线,爆破模式,游戏_达人解说,FPS,质量_骂脏话,质量_横屏,1507110384952454,2019-10-26 20:43:39,1112_1eebdf153d5941f394a82ed48049aauu,0,0,0,0,0,0,0,0,0,1,1,0,56699,0,0,10
20191102,6VyLSm0fZ1I6siFbF,搞笑,剧情段子,质量_加字幕,质量_横屏,搞笑剧,搞笑_表情亮了,反转剧,拍摄_特效,1512747735482543,2019-09-07 12:26:13,1112_f34852974a144223a2186fcc9e02aauu,0,0,0,0,0,0,0,1,0,8,7,0,88400,18184,11050,10
20191102,6Vyag7KOh1Ig0FZ6Q,工业/机械/施工,工厂加工制作,工业机械,工业/机械/施工_机械加工,机械设备,质量_音质差,1512713273671021,2019-10-03 20:57:47,1112_4b9a34fe126b4911b3d81fdff3a5aauu,0,0,0,0,0,0,0,0,1,2,0,0,40608,16533,16533,10
20191102,6WSscrpsk1IgZy0xx,运动,篮球,公牛,运动_扣篮,运动_篮球赛事,运动_NBA,德里克-罗斯,质量_不清晰,1517387328959016,2019-10-06 13:57:36,1112_7893302b1332402dbcaddcca357baauu,0,0,0,0,0,0,0,0,1,2,0,0,120000,10560,10560,10
20191102,6XDA1iRSs1In6Ru7Y,旅行风景,自然风景,质量_横屏,公路,旅行风景_川渝旅行,旅行风景_雪山,折多山,旅行风景_自驾游,1520064104518724,2019-10-23 10:59:00,1112_d8645c7f7489444480cde0ec51ebaauu,0,0,0,0,0,0,0,0,0,1,0,0,31094,15050,15050,10
20191102,6XUhPJ7G21Imziu3a,游戏,MOBA类-王者荣耀,质量_有画布,质量_加字幕,游戏_达人解说,游戏_残血反杀,王者峡谷,曜,战士,上好佳,1521013047073906,2019-10-21 23:08:38,1112_90d8e9a6686642ea8a856527f05faauu,0,0,0,0,0,0,0,2,2,6,0,0,114000,95323,80043,13
20191102,6XUhVnUoo1IlEUOqf,游戏,吃鸡类-绝地求生,游戏_达人解说,游戏_绝地求生：大逃杀,生存游戏,游戏_韦神,雨林地图,M416,SKS,实战教学,三杀,游戏_连续击杀,质量_有画布,质量_加字幕,1521013130675968,2019-10-19 10:56:26,1112_4b6498b4fcaf4762a875f9849667aauu,0,0,0,0,0,0,0,2,3,6,1,0,72000,34679,31292,13
20191102,6XUm5LMcx1IoiFWcz,游戏,MOBA类-王者荣耀,游戏_达人解说,单杀,挂件,猴三棍,铭文搭配,游戏_孙悟空,王者峡谷,战士,质量_横屏,1521016948659041,2019-10-26 17:48:00,1112_86022c9854a14e8eaefd0d015d33aauu,0,0,0,0,0,0,0,2,1,11,1,0,407000,225167,219921,13
20191102,6XiIR8VaX1IqKHy1O,生活,物品随拍,质量_照片轮播,电动车,录屏,驾驶证,生活随拍,1518879394632987,2019-11-02 12:07:48,001VGn5V3b6fIj,0,0,3,6,0,0,1,122,94,288,9,10,2595168,2502932,1735488,10
20191102,6XkdzvPnM1Ij9PYdp,旅行风景,其他,质量_镜头不稳,旅行风景_博物馆,旅游实拍,1518964334471590,2019-10-12 13:21:06,002RFGBa0O1eij,0,0,0,0,0,0,0,0,0,1,0,0,60043,8405,8405,10
20191102,6Xr1JQ3CB1Ijdnabb,游戏,射击类-穿越火线,质量_有画布,质量_加字幕,打脸操作,刀战,拍摄_慢动作,游戏搞笑,游戏_游戏搞笑,FPS,1519351095111349,2019-10-12 17:07:36,002OiX4b1UiDy9,0,0,0,0,0,0,0,0,1,1,0,0,17113,1392,1392,10
20191102,6Y1Ln8Jsn1IlExAJ2,生活,场景随拍,自然风光,风光实拍,荷花,植物,池塘,1521437710297635,2019-10-19 10:32:26,002TpsfX2SA49N,0,0,0,0,0,0,0,0,0,1,0,0,15535,7516,7516,10
20191102,6Y1RgtwSg1ImsPyTZ,美食,美食教学,质量_加字幕,烹饪,美食_家常菜,硬核how to,how to,鸡肉,1521443108616796,2019-10-21 16:14:20,,0,0,0,0,0,1,0,0,0,1,1,1,25360,0,0,10
20191102,6Y1WYRDHU1Iq0UPJR,,,,1521448345185878,2019-10-31 11:14:27,1112_564fa21cc9e7464ba9866762f184aauu,0,0,3,3,1,0,0,11,2,18,0,7,1224000,1106667,1049115,13
20191102,6Y31XXaoY1Il4Ec9t,游戏,吃鸡类-和平精英,质量_横屏,质量_加字幕,沙漠地图,生存游戏,游戏_游戏剧场,AWM,1521509712626604,2019-10-17 20:12:52,,0,0,0,0,0,0,0,0,0,1,0,0,54000,40593,40593,13
20191102,6Y5nuj3S61Ip1GXkW,长尾才艺,手工艺,长尾才艺_传统艺术,长尾才艺_雕刻,长尾才艺_非物质文化遗产,核雕,民间高手,长尾才艺_手工作品展示,拍摄_特效模板,1521643029948110,2019-10-28 17:52:03,004Cqw7K2AFWWk,0,0,0,1,0,0,0,0,2,2,0,1,91950,1058,1058,9
20191102,6Y5wFRtpT1Ik2qi8H,自拍,对口型,人物_美女,人物_清纯美女,挂件,情感段子,休闲风,着迷,质量_镜头不稳,质量_加字幕,1521651445884641,2019-10-14 23:38:14,002lfyRZ3PutdI,0,0,0,0,0,0,0,8,1,10,0,0,175000,283010,149652,10
